Model,Best Epoch,Best val_iou,Best val_dice,Final val_iou,Final val_dice,Min val_loss,Avg val_iou,Std val_iou,Avg val_dice,Std val_dice,Total Time (min),Total Epochs Run
DCA,69,0.7649451162844919,0.8656825820140788,0.6963391854209156,0.817854665952406,0.2759400391578674,0.509420072350017,0.19386761775629496,0.6467685775995552,0.19529284937791,207.65074083805084,79
CTrans,51,0.784313931121932,0.8780453953790098,0.7659293448196509,0.8659357817616368,0.2587220311164856,0.7100131749889274,0.0634912347194457,0.8259236908981538,0.04963196210272706,285.7410111625989,102
Baseline,181,0.8202340481325926,0.8998387310594714,0.7958837187981189,0.8847037055155306,0.1937422066926956,0.7831725645761434,0.024318719770090164,0.8749860722634597,0.017024024667661633,601.0966246088345,196
