epoch,lr,loss,iou,val_loss,val_iou,val_dice,epoch_time
0,0.0001,0.9493909619356456,0.5033842707154479,0.8950378036499024,0.4962855836354781,0.6614227257974866,1021.6317358016968
1,0.0001,0.7514210672754991,0.6555890614249313,0.8188571310043335,0.37116041044566883,0.5183321442948466,156.90493273735046
2,0.0001,0.5834426785770216,0.702870009831723,0.5871424388885498,0.620267026291183,0.7603441590699975,162.45152592658997
3,0.0001,0.46317140914891897,0.7184792758463476,0.5593994283676147,0.5758717005109362,0.7206904019535131,160.9778275489807
4,0.0001,0.3916662860857813,0.7259044019158778,0.520665454864502,0.603366759713626,0.7449342528879995,159.55775141716003
5,0.0001,0.33582633655322225,0.7471694888987743,0.43374290466308596,0.6393976063224666,0.7759655161087919,163.81298184394836
6,0.0001,0.30701465473363276,0.753630371359217,0.44078285694122316,0.6426322752713238,0.7793014401179932,170.30042672157288
7,0.0001,0.2800723549566771,0.7683992372787604,0.42809654712677003,0.6531921177271268,0.7868539048528903,174.65960335731506
8,0.0001,0.26709735471951335,0.7723154339712088,0.3953888940811157,0.6738323279035124,0.8047694408467629,167.7360315322876
9,0.0001,0.25320391670653697,0.7794399940590139,0.4596283578872681,0.6311646061741022,0.7708590447749455,161.31635546684265
10,0.0001,0.24756298292624324,0.7823138327425496,0.4601920509338379,0.6335274337920108,0.7715470322290107,160.09053444862366
11,0.0001,0.24384052776976636,0.781385283448909,0.46235241889953616,0.63511968107871,0.7697939416820341,155.88374423980713
12,0.0001,0.2298438490221375,0.7913456723561332,0.4102693223953247,0.665104554930503,0.7965757421151821,160.91008496284485
13,0.0001,0.2236618336878325,0.7950962066657574,0.47217353820800784,0.626765367454495,0.7650435618069104,155.7658829689026
14,0.0001,0.21911917077867607,0.7983843509649504,0.41135023593902587,0.6731375236200684,0.8018513256478488,163.56117033958435
15,0.0001,0.2113538811865606,0.8024180215481719,0.4162907695770264,0.6668352271866606,0.7942525048498821,160.99372744560242
16,0.0001,0.20884698629379272,0.8053537545038405,0.4038344407081604,0.6813020480652878,0.8087048462193467,158.19131636619568
17,0.0001,0.20777553437571777,0.8065794077482429,0.41487100839614865,0.6705106573327646,0.8004359568214627,158.51660442352295
18,0.0001,0.20701022603009878,0.8069509587985093,0.38211821794509887,0.697367699548454,0.8205256908303398,155.98998284339905
19,0.0001,0.20873330337436577,0.8020765652909102,0.40656850337982176,0.6793352204606898,0.8051341273503823,162.05329942703247
20,0.0001,0.20366117436634867,0.8089002439028731,0.5547565698623658,0.5896974413757352,0.7372883750719184,155.3158757686615
21,0.0001,0.20068559795618057,0.8112438517396031,0.38486712098121645,0.6847664991397576,0.8117871741870849,157.00986886024475
22,0.0001,0.20279153122713692,0.8112069522016607,0.41910977363586427,0.667992909187009,0.7965597692634059,167.50081968307495
23,0.0001,0.1928833507393536,0.8188985247086409,0.4262801277637482,0.6625553042120528,0.7943184700518335,156.9684295654297
24,0.0001,0.18986787960717552,0.822339514775976,0.32051356792449953,0.7262729610918663,0.8398458010891726,156.44220519065857
25,0.0001,0.18509783321305326,0.8243612469879432,0.32191752791404726,0.7161745150321457,0.8331248816576492,160.66232872009277
26,0.0001,0.18745694897676768,0.8226175657936862,0.39203323602676393,0.6908110419388654,0.8141203635488489,158.08871459960938
27,0.0001,0.18548010819052396,0.8230351115540586,0.4079206204414368,0.6604659142442822,0.7934431245628979,156.93248915672302
28,0.0001,0.18256498834020213,0.8275441916760476,0.4318803310394287,0.6558614658893751,0.7892119701250797,160.9286870956421
29,0.0001,0.18353760438530067,0.8289313739350291,0.42813452482223513,0.6630679522485431,0.7946847588340296,157.01077389717102
30,0.0001,0.177550768185603,0.8297800725566734,0.3764321553707123,0.6933262794801976,0.8162729806647182,158.3145101070404
31,0.0001,0.1763465780960886,0.8346577905062609,0.40331254839897157,0.6673574628145024,0.7980679602589161,153.86506271362305
